,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points
1,Arabica,metad plc,Ethiopia,metad plc,,metad plc,2014/2015,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58
2,Arabica,metad plc,Ethiopia,metad plc,,metad plc,2014/2015,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92
3,Arabica,grounds for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",,,,,1600 - 1800 m,,,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75
4,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,,wolensu,,yidnekachew debessa coffee plantation,1800-2200,oromia,Yidnekachew Dabessa Coffee Plantation,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89
5,Arabica,metad plc,Ethiopia,metad plc,,metad plc,2014/2015,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83
6,Arabica,ji-ae ahn,Brazil,,,,,,,,,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83
7,Arabica,hugo valdivia,Peru,,,hvc,,richmond investment-coffee department,,,HVC,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75
8,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,010/0338,,1570-1700,oromia,Bazen Agricultural & Industrial Dev't Plc,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67
9,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,010/0338,,1570-1700,oromiya,Bazen Agricultural & Industrial Dev't Plc,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42
10,Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,,tulla coffee farm,2014/15,diamond enterprise plc,1795-1850,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,08.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25
11,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,,,,fahem coffee plantation,1855-1955,oromia,Fahem Coffee Plantation,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08
12,Arabica,cqi q coffee sample representative,United States,el filo,,,unknown,coffee quality institute,meters above sea level: 1.872,antioquia,Alfredo De Jesús López Pérez,8.25,8.42,8.17,8.33,08.08,8.17,10,10,10,8.5,87.92
13,Arabica,cqi q coffee sample representative,United States,los cedros,,,unknown,coffee quality institute,meters above sea level: 1.943,antioquia,Jorge Walter Restrepo,08.08,8.67,8.33,8.42,8,08.08,10,10,10,8.33,87.92
14,Arabica,grounds for health admin,United States (Hawaii),arianna farms,,,,,2000 ft,kona,"Robert, Sharon, Arianna Wood",8.33,8.42,08.08,8.25,8.25,8,10,10,10,8.58,87.92
